instrument,energy_kev,counts,error
pn,0.637,0.0,1.0
pn,0.638,0.0,1.0
pn,0.639,0.0,1.0
pn,0.64,0.0,1.0
pn,0.641,0.0,1.0
pn,0.642,0.0,1.0
pn,0.643,0.0,1.0
pn,0.644,0.0,1.0
pn,0.645,0.0,1.0
pn,0.646,0.0,1.0
pn,0.647,1.0,1.0
pn,0.648,0.0,1.0
pn,0.649,0.0,1.0
pn,0.65,0.0,1.0
pn,0.651,0.0,1.0
pn,0.652,0.0,1.0
pn,0.653,0.0,1.0
pn,0.654,0.0,1.0
pn,0.655,1.0,1.0
pn,0.656,0.0,1.0
pn,0.657,1.0,1.0
pn,0.658,0.0,1.0
pn,0.659,0.0,1.0
pn,0.66,0.0,1.0
pn,0.661,2.0,1.4142135623730951
pn,0.662,0.0,1.0
pn,0.663,0.0,1.0
pn,0.664,0.0,1.0
pn,0.665,0.0,1.0
pn,0.666,0.0,1.0
pn,0.667,0.0,1.0
pn,0.668,1.0,1.0
pn,0.669,0.0,1.0
pn,0.67,0.0,1.0
pn,0.671,0.0,1.0
pn,0.672,0.0,1.0
pn,0.673,1.0,1.0
pn,0.674,0.0,1.0
pn,0.675,0.0,1.0
pn,0.676,0.0,1.0
pn,0.677,0.0,1.0
pn,0.678,1.0,1.0
pn,0.679,1.0,1.0
pn,0.68,1.0,1.0
pn,0.681,0.0,1.0
pn,0.682,1.0,1.0
pn,0.683,0.0,1.0
pn,0.684,1.0,1.0
pn,0.685,0.0,1.0
pn,0.686,1.0,1.0
pn,0.687,0.0,1.0
pn,0.688,0.0,1.0
pn,0.689,0.0,1.0
pn,0.69,0.0,1.0
pn,0.691,0.0,1.0
pn,0.692,1.0,1.0
pn,0.693,0.0,1.0
pn,0.694,1.0,1.0
pn,0.695,0.0,1.0
pn,0.696,0.0,1.0
pn,0.697,2.0,1.4142135623730951
pn,0.698,0.0,1.0
pn,0.699,0.0,1.0
pn,0.7,0.0,1.0
pn,0.701,0.0,1.0
pn,0.702,0.0,1.0
pn,0.703,0.0,1.0
pn,0.704,0.0,1.0
pn,0.705,0.0,1.0
pn,0.706,0.0,1.0
pn,0.707,0.0,1.0
pn,0.708,0.0,1.0
pn,0.709,0.0,1.0
pn,0.71,0.0,1.0
pn,0.711,1.0,1.0
pn,0.712,0.0,1.0
pn,0.713,1.0,1.0
pn,0.714,3.0,1.7320508075688772
pn,0.715,0.0,1.0
pn,0.716,1.0,1.0
pn,0.717,0.0,1.0
pn,0.718,0.0,1.0
pn,0.719,0.0,1.0
pn,0.72,2.0,1.4142135623730951
pn,0.721,0.0,1.0
pn,0.722,0.0,1.0
pn,0.723,0.0,1.0
pn,0.724,0.0,1.0
pn,0.725,0.0,1.0
pn,0.726,0.0,1.0
pn,0.727,0.0,1.0
pn,0.728,0.0,1.0
pn,0.729,2.0,1.4142135623730951
pn,0.73,0.0,1.0
pn,0.731,0.0,1.0
pn,0.732,0.0,1.0
pn,0.733,0.0,1.0
pn,0.734,0.0,1.0
pn,0.735,0.0,1.0
pn,0.736,0.0,1.0
pn,0.737,0.0,1.0
pn,0.738,1.0,1.0
pn,0.739,1.0,1.0
pn,0.74,0.0,1.0
pn,0.741,0.0,1.0
pn,0.742,0.0,1.0
pn,0.743,0.0,1.0
pn,0.744,0.0,1.0
pn,0.745,1.0,1.0
pn,0.746,1.0,1.0
pn,0.747,0.0,1.0
pn,0.748,1.0,1.0
pn,0.749,1.0,1.0
pn,0.75,3.0,1.7320508075688772
pn,0.751,1.0,1.0
pn,0.752,0.0,1.0
pn,0.753,0.0,1.0
pn,0.754,0.0,1.0
pn,0.755,0.0,1.0
pn,0.756,1.0,1.0
pn,0.757,0.0,1.0
pn,0.758,0.0,1.0
pn,0.759,0.0,1.0
pn,0.76,0.0,1.0
pn,0.761,2.0,1.4142135623730951
pn,0.762,0.0,1.0
pn,0.763,0.0,1.0
pn,0.764,0.0,1.0
pn,0.765,1.0,1.0
pn,0.766,0.0,1.0
pn,0.767,0.0,1.0
pn,0.768,1.0,1.0
pn,0.769,0.0,1.0
pn,0.77,0.0,1.0
